ítem,Norte,Este,Muestra,De,Hasta,potencia,Vs(m/s),Nspt,(N1)60,SUCS,LL%,LP,IP%,W%,ø°,C(Kg/cm2),densidadhúmeda(gr/cm3),densidadseca(gr/cm3),Qadm.(kg/cm2),Qult.(kg/cm2),TipodeSuelo,SST(ppm),SO4(ppm),CL(ppm),pH(ppm),Colapso,Gravas,Arenas,Finos,colegio,Vs (m/s),LL %,IP %,ø °,C (Kg/cm2),Densidad húmeda (gr/cm3),Densidad seca (gr/cm3),Qadm. (kg/cm2),Qult. (kg/cm2),Tipo de Suelo,SST (ppm),SO4 (ppm),CL (ppm),pH (ppm),?húmeda(gr/cm3),?seca(gr/cm3),? húmeda (gr/cm3),? seca (gr/cm3),profundidad_media
MW-1,9420855.308,612028.5418,M-14,26.785715,36.428571,9.642856,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,626.902885,,,,,,,,,,,,,,,,,,31.607143
MW-2,9420843.393,612011.9245,M-1,0.0,1.071429,1.071429,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,525.003684,,,,,,,,,,,,,,,,,,0.5357145
MW-2,9420843.393,612011.9245,M-2,1.071429,2.307693,1.236264,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,491.116914,,,,,,,,,,,,,,,,,,1.6895609999999999
MW-2,9420843.393,612011.9245,M-3,2.307693,3.708791,1.401098,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,481.605872,,,,,,,,,,,,,,,,,,3.008242
MW-2,9420843.393,612011.9245,M-4,3.708791,5.274726,1.565935,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,582.324652,,,,,,,,,,,,,,,,,,4.4917585
MW-2,9420843.393,612011.9245,M-5,5.274726,7.005495,1.730769,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,681.336983,,,,,,,,,,,,,,,,,,6.1401105000000005
MW-2,9420843.393,612011.9245,M-6,7.005495,8.9011,1.895605,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,706.838944,,,,,,,,,,,,,,,,,,7.9532975
MW-2,9420843.393,612011.9245,M-7,8.9011,10.961539,2.060439,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,690.58511,,,,,,,,,,,,,,,,,,9.9313195
MW-2,9420843.393,612011.9245,M-8,10.961539,13.186814,2.225275,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,664.789216,,,,,,,,,,,,,,,,,,12.0741765
MW-2,9420843.393,612011.9245,M-9,13.186814,15.576924,2.39011,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,646.725926,,,,,,,,,,,,,,,,,,14.381869
MW-2,9420843.393,612011.9245,M-10,15.576924,18.131869,2.554945,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,641.807161,,,,,,,,,,,,,,,,,,16.8543965
MW-2,9420843.393,612011.9245,M-11,18.131869,20.851649,2.71978,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,648.607911,,,,,,,,,,,,,,,,,,19.491759
MW-2,9420843.393,612011.9245,M-12,20.851649,23.736265,2.884616,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,658.091511,,,,,,,,,,,,,,,,,,22.293957
MW-2,9420843.393,612011.9245,M-13,23.736265,26.785715,3.04945,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,661.70601,,,,,,,,,,,,,,,,,,25.26099
MW-2,9420843.393,612011.9245,M-14,26.785715,36.428571,9.642856,,,,,,,,,,,,,,,,,,,,,,,,10. LOCAL ESCOLAR 14641-Morropon,667.735511,,,,,,,,,,,,,,,,,,31.607143
